GAMEID,cluster
GAME_3864,19
GAME_4779,24
GAME_1763,19
GAME_3991,19
GAME_3558,12
GAME_4778,24
GAME_1463,7
GAME_975,19
GAME_5574,24
GAME_4339,1
GAME_4962,19
GAME_5695,19
GAME_969,19
GAME_5227,24
GAME_5207,7
GAME_5947,19
GAME_2738,19
GAME_5612,7
GAME_5212,7
GAME_4747,19
GAME_3776,19
GAME_1496,20
GAME_4341,1
GAME_4306,24
GAME_5075,23
GAME_4354,24
GAME_5804,7
GAME_4919,19
GAME_6133,24
GAME_5526,24
GAME_3171,19
GAME_6204,21
GAME_4661,7
GAME_5577,24
GAME_5218,1
GAME_4359,24
GAME_4325,7
GAME_4649,19
GAME_3600,1
GAME_5384,4
GAME_4766,19
GAME_6579,24
GAME_5597,1
GAME_3492,24
GAME_5622,7
GAME_4346,19
GAME_4229,1
GAME_4465,1
GAME_3617,19
GAME_4664,7
GAME_3849,7
GAME_5379,4
GAME_4207,19
GAME_4934,9
GAME_4676,24
GAME_3116,19
GAME_10880,1
GAME_5250,15
GAME_4804,19
GAME_5774,24
GAME_5224,24
GAME_4119,24
GAME_3215,20
GAME_5420,19
GAME_5696,19
GAME_5615,7
GAME_4123,24
GAME_4650,1
GAME_4124,9
GAME_4716,19
GAME_4835,5
GAME_3550,4
GAME_5579,19
GAME_4242,24
GAME_3811,24
GAME_5899,19
GAME_4859,19
GAME_4351,1
GAME_3431,19
GAME_5822,21
GAME_4658,7
GAME_6339,24
GAME_4153,24
GAME_5370,4
GAME_11148,7
GAME_4789,24
GAME_6340,24
GAME_5040,24
GAME_5507,19
GAME_5090,15
GAME_4838,5
GAME_5993,19
GAME_6015,19
GAME_2740,19
GAME_6184,7
GAME_4126,24
GAME_4125,24
GAME_4554,24
GAME_4131,24
GAME_4130,9
GAME_5097,1
GAME_4944,19
GAME_5349,1
GAME_4760,1
GAME_4200,19
GAME_4026,19
GAME_4397,1
GAME_5418,19
GAME_4810,6
GAME_4792,24
GAME_5148,19
GAME_5456,19
GAME_4734,19
GAME_5477,24
GAME_3596,1
GAME_2182,19
GAME_4099,19
GAME_4466,7
GAME_5917,24
GAME_4538,7
GAME_4697,19
GAME_4946,19
GAME_5210,7
GAME_3755,1
GAME_6288,1
GAME_5595,1
GAME_5205,7
GAME_5139,7
GAME_4526,1
GAME_5560,24
GAME_4137,9
GAME_5654,23
GAME_4645,19
GAME_5891,19
GAME_4225,1
GAME_11904,24
GAME_5826,21
GAME_4573,19
GAME_5424,24
GAME_5223,24
GAME_4296,19
GAME_5007,19
GAME_1743,13
GAME_4818,6
GAME_4034,19
GAME_5185,24
GAME_5966,19
GAME_4287,24
GAME_4414,1
GAME_5394,17
GAME_4936,24
GAME_6098,15
GAME_4133,9
GAME_5187,24
GAME_6127,1
GAME_11905,24
GAME_3965,19
GAME_11150,7
GAME_3613,19
GAME_5648,23
GAME_3779,19
GAME_3438,19
GAME_5907,1
GAME_4927,19
GAME_3949,19
GAME_4597,17
GAME_2312,24
GAME_6394,24
GAME_5721,24
GAME_5860,19
GAME_2208,19
GAME_4360,24
GAME_5481,24
GAME_4038,19
GAME_4226,7
GAME_4889,1
GAME_5285,19
GAME_2494,19
GAME_5789,7
GAME_4836,19
GAME_6702,24
GAME_5211,7
GAME_2564,11
GAME_5799,19
GAME_4420,1
GAME_6667,19
GAME_5928,1
GAME_1752,13
GAME_5225,24
GAME_5872,0
GAME_2308,24
GAME_5690,7
GAME_5393,17
GAME_2654,24
GAME_3953,7
GAME_5383,4
GAME_4772,19
GAME_2875,15
GAME_4867,24
GAME_4343,1
GAME_6502,24
GAME_5509,19
GAME_4761,19
GAME_7248,1
GAME_4157,24
GAME_5459,24
GAME_5458,19
GAME_4777,24
GAME_5670,19
GAME_4244,24
GAME_2547,24
GAME_5299,24
GAME_5556,24
GAME_6205,21
GAME_4880,7
GAME_6716,19
GAME_3714,7
GAME_1969,7
GAME_4530,19
GAME_5191,7
GAME_4829,5
GAME_4273,19
GAME_5636,24
GAME_4887,1
GAME_5532,1
GAME_4750,19
GAME_3284,19
GAME_4637,19
GAME_5765,24
GAME_1176,19
GAME_3931,24
GAME_1744,19
GAME_5431,19
GAME_3118,7
GAME_4464,7
GAME_4926,19
GAME_3745,5
GAME_1807,1
GAME_2176,19
GAME_6393,24
GAME_972,19
GAME_5408,24
GAME_3783,19
GAME_6420,19
GAME_5511,19
GAME_5209,7
GAME_5122,9
GAME_4940,24
GAME_3824,19
GAME_4164,19
GAME_6092,1
GAME_6100,15
GAME_5893,19
GAME_4064,19
GAME_10834,17
GAME_6704,24
GAME_4602,17
GAME_6722,19
GAME_5957,1
GAME_6134,24
GAME_4321,7
GAME_5898,19
GAME_5478,24
GAME_4913,10
GAME_4148,1
GAME_5578,24
GAME_1453,5
GAME_3741,5
GAME_5689,7
GAME_4507,1
GAME_3920,19
GAME_5065,1
GAME_1762,19
GAME_1761,13
GAME_4158,19
GAME_5425,24
GAME_4964,19
GAME_9562,19
GAME_5028,24
GAME_5457,24
GAME_5109,24
GAME_4545,24
GAME_3134,7
GAME_3300,19
GAME_4496,1
GAME_4030,19
GAME_5296,24
GAME_4925,19
GAME_5283,19
GAME_4638,19
GAME_5719,24
GAME_4413,1
GAME_5646,23
GAME_4718,19
GAME_5924,19
GAME_4820,6
GAME_4856,19
GAME_5243,19
GAME_4095,19
GAME_1446,19
GAME_4775,24
GAME_5730,19
GAME_5186,24
GAME_4644,1
GAME_4879,7
GAME_4705,19
GAME_3832,19
GAME_4027,19
GAME_5099,1
GAME_5021,19
GAME_3485,24
GAME_6203,21
GAME_5251,15
GAME_5746,6
GAME_3923,24
GAME_5147,19
GAME_5737,19
GAME_5305,7
GAME_5630,19
GAME_3489,5
GAME_5837,19
GAME_3616,19
GAME_7244,1
GAME_5685,24
GAME_5777,24
GAME_5327,1
GAME_4168,19
GAME_4500,1
GAME_5071,19
GAME_4945,19
GAME_5628,19
GAME_4549,24
GAME_5177,7
GAME_3493,5
GAME_2837,19
GAME_5203,7
GAME_5809,7
GAME_5624,7
GAME_5089,15
GAME_5035,24
GAME_5824,21
GAME_6302,1
GAME_11042,19
GAME_4910,19
GAME_2443,17
GAME_4942,8
GAME_5922,19
GAME_4566,19
GAME_3571,12
GAME_5174,7
GAME_2426,19
GAME_4562,7
GAME_3435,19
GAME_3835,19
GAME_3963,19
GAME_4604,7
GAME_5838,19
GAME_5387,4
GAME_4590,19
GAME_5364,24
GAME_5220,1
GAME_2180,19
GAME_5750,6
GAME_4233,9
GAME_4322,7
GAME_4503,24
GAME_2683,24
GAME_3844,7
GAME_4834,24
GAME_5840,19
GAME_5793,1
GAME_4394,7
GAME_5171,19
GAME_4648,19
GAME_5711,19
GAME_4862,19
GAME_4452,24
GAME_5748,6
GAME_4799,24
GAME_5855,24
GAME_4662,7
GAME_5701,0
GAME_5736,19
GAME_6746,1
GAME_5029,24
GAME_5100,1
GAME_5121,9
GAME_3548,4
GAME_2841,19
GAME_4276,19
GAME_4652,19
GAME_5353,1
GAME_5803,19
GAME_5767,24
GAME_4745,19
GAME_4138,9
GAME_2628,9
GAME_4049,22
GAME_3246,19
GAME_5656,1
GAME_5850,7
GAME_4727,20
GAME_5315,24
GAME_4756,19
GAME_5715,19
GAME_3729,19
GAME_2355,19
GAME_3847,7
GAME_5297,24
GAME_3884,7
GAME_3966,19
GAME_4291,24
GAME_5620,7
GAME_4235,9
GAME_4861,19
GAME_5609,1
GAME_4972,19
GAME_5613,7
GAME_5113,24
GAME_4921,19
GAME_6094,1
GAME_5157,19
GAME_2319,24
GAME_6664,19
GAME_1959,7
GAME_4020,9
GAME_4039,19
GAME_4819,6
GAME_4149,1
GAME_3746,1
GAME_4588,19
GAME_4759,19
GAME_5697,19
GAME_4753,19
GAME_5823,21
GAME_4629,7
GAME_4485,19
GAME_5198,7
GAME_4788,24
GAME_3803,24
GAME_4474,1
GAME_3962,19
GAME_3182,19
GAME_4139,9
GAME_978,19
GAME_4024,9
GAME_5510,19
GAME_5788,7
GAME_6533,7
GAME_3935,24
GAME_5878,1
GAME_5684,24
GAME_3926,24
GAME_5810,7
GAME_5374,4
GAME_5539,24
GAME_4877,7
GAME_5764,24
GAME_4357,1
GAME_5782,7
GAME_3368,19
GAME_4367,1
GAME_5915,24
GAME_5895,19
GAME_5229,24
GAME_5363,24
GAME_6352,19
GAME_4806,19
GAME_7254,1
GAME_1586,7
GAME_5447,19
GAME_5242,19
GAME_4368,19
GAME_5669,19
GAME_4206,7
GAME_2860,15
GAME_2864,15
GAME_4717,19
GAME_5156,19
GAME_4793,24
GAME_2444,17
GAME_3818,19
GAME_3463,24
GAME_4453,24
GAME_5529,24
GAME_5985,19
GAME_5311,19
GAME_1470,5
GAME_4736,1
GAME_4101,19
GAME_4636,1
GAME_2751,19
GAME_5879,1
GAME_4754,19
GAME_3742,1
GAME_5326,1
GAME_5237,19
GAME_5252,15
GAME_5114,24
GAME_5596,1
GAME_2316,24
GAME_4469,7
GAME_4037,19
GAME_3265,7
GAME_4631,7
GAME_5289,1
GAME_5877,1
GAME_11152,7
GAME_5034,24
GAME_4848,19
GAME_5751,6
GAME_2675,1
GAME_4920,19
GAME_2663,24
GAME_5490,1
GAME_4853,19
GAME_4308,24
GAME_3278,19
GAME_4952,24
GAME_1457,7
GAME_5328,1
GAME_4533,1
GAME_5773,24
GAME_3592,19
GAME_5779,24
GAME_5569,20
GAME_6099,15
GAME_3181,19
GAME_6248,24
GAME_5354,1
GAME_5255,15
GAME_4429,19
GAME_4973,19
GAME_5592,1
GAME_4546,24
GAME_5731,19
GAME_6353,19
GAME_5421,19
GAME_5426,24
GAME_3336,19
GAME_4595,19
GAME_3990,19
GAME_5673,24
GAME_4033,19
GAME_4022,9
GAME_3223,20
GAME_3901,19
GAME_2625,9
GAME_3955,7
GAME_3925,24
GAME_4136,9
GAME_2482,19
GAME_3807,24
GAME_4839,19
GAME_5698,19
GAME_5825,21
GAME_5403,19
GAME_4646,19
GAME_10856,19
GAME_5914,24
GAME_3840,19
GAME_6250,24
GAME_5726,19
GAME_5314,24
GAME_9853,24
GAME_2322,24
GAME_4231,1
GAME_5499,19
GAME_4048,22
GAME_1754,19
GAME_4029,19
GAME_3927,19
GAME_5434,19
GAME_5199,7
GAME_3929,24
GAME_5497,19
GAME_4976,18
GAME_4774,24
GAME_5493,1
GAME_2178,19
GAME_3846,7
GAME_5927,1
GAME_1200,2
GAME_4417,1
GAME_2744,19
GAME_5839,19
GAME_5740,19
GAME_5118,24
GAME_5792,1
GAME_5729,19
GAME_3753,19
GAME_5298,24
GAME_4781,24
GAME_3021,19
GAME_4241,24
GAME_3579,12
GAME_5896,19
GAME_5390,4
GAME_4977,18
GAME_1974,7
GAME_5337,24
GAME_5545,24
GAME_4719,19
GAME_6007,7
GAME_4764,19
GAME_6187,7
GAME_6128,1
GAME_5482,24
GAME_4821,6
GAME_4666,7
GAME_3245,20
GAME_4505,24
GAME_2829,24
GAME_4724,7
GAME_4516,1
GAME_5170,1
GAME_5674,24
GAME_10950,1
GAME_5571,20
GAME_6101,15
GAME_5868,19
GAME_5886,1
GAME_3291,19
GAME_2874,15
GAME_3989,19
GAME_5634,24
GAME_5694,7
GAME_4129,24
GAME_5534,1
GAME_3928,24
GAME_4830,19
GAME_4561,19
GAME_3261,7
GAME_3282,19
GAME_4032,19
GAME_5017,24
GAME_3950,19
GAME_5194,7
GAME_4568,19
GAME_5312,19
GAME_5703,0
GAME_4247,24
GAME_5637,24
GAME_5692,7
GAME_5226,24
GAME_5303,7
GAME_4078,19
GAME_5291,1
GAME_5555,24
GAME_5355,1
GAME_4553,24
GAME_4581,20
GAME_4641,19
GAME_4954,24
GAME_5946,21
GAME_5037,24
GAME_5143,7
GAME_4930,19
GAME_4375,19
GAME_3996,19
GAME_3144,7
GAME_1772,19
GAME_3825,20
GAME_2446,17
GAME_3782,19
GAME_4737,19
GAME_5987,19
GAME_6290,1
GAME_3924,19
GAME_4699,24
GAME_3260,7
GAME_5077,23
GAME_1237,19
GAME_3024,19
GAME_5192,7
GAME_4563,19
GAME_1226,2
GAME_4471,7
GAME_4882,7
GAME_5760,24
GAME_5784,7
GAME_6374,19
GAME_5361,24
GAME_4045,22
GAME_4199,7
GAME_4336,9
GAME_4345,1
GAME_4211,19
GAME_1817,24
GAME_3754,5
GAME_4470,1
GAME_4890,1
GAME_5464,24
GAME_4128,24
GAME_5246,19
GAME_2684,1
GAME_1205,2
GAME_5284,19
GAME_3069,24
GAME_2184,19
GAME_4234,9
GAME_4683,9
GAME_5072,19
GAME_4686,19
GAME_6003,19
GAME_4487,19
GAME_6256,19
GAME_5554,24
GAME_6185,7
GAME_3821,20
GAME_3619,19
GAME_5188,24
GAME_3549,4
GAME_2655,24
GAME_3744,19
GAME_5419,19
GAME_10883,1
GAME_4122,24
GAME_5862,19
GAME_4744,19
GAME_5087,15
GAME_4127,9
GAME_4224,7
GAME_5352,1
GAME_4914,10
GAME_2826,24
GAME_5584,24
GAME_5705,0
GAME_3620,19
GAME_3236,19
